Name,Text,URL,,
ABX 10 DAY DURATION,7 days10 days14 daysNoneOther,,,
ABX 10 DAY DURATION EXPLANATION,"Please select a duration for antimcirobial treatment. The default recommended duration for this indication is 10 days. If you would like to choose a duration other than those listed please select ""other"" and manually change in the comments of the antimicrobial.",,,
ABX ACCEPT BUTTON,Accept,,,
ABX ACIP BEST PRACTICES GUIDANCE,,https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/timing.html#t-05,,
"ABX ADULT IMMUNIZATION SCHEDULE, FULL VERSION",CDC Recommended Adult Immunization Schedule [Click Here],https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/CDC%20Immunization%20Schedule%20Full.pdf?csf=1&web=1&e=B3H7st,,
ABX ALBC ORTHOPEDIC SURGERY,,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\ALBC.pdf,,
ABX ANTIMICROBIAL FORMULARY,Antimicrobial Formulary,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Antimicrobial%20Formulary.pdf?csf=1&web=1&e=E9wLjo,,
ABX ATOVAQUONE CLINICAL REASON,Atovaquone: G6PD deficiency lab confirmed (dapsone contraindicated)Atovaquone: Patient dx systemic lupus erythematosus (SLE)Atovaquone: Concern for hematologic toxicity (specify in comments section)Other: Please specify reason for atovaquone in comments section.,,,
ABX ATOVAQUONE PCP PROPHYLAXIS,"Atovaquone is expensive, especially for long term prophylaxis. Please select alternative recommendation, unless clinical reason for selecting Atovaquone. Clinical reason for selecting Atovaquone:",,,
ABX AZITHROMYCIN LONGTERM PULMONARY TEXT,Azithromycin for long-term use for COPD requires approval by Pulmonary at MVAHCS.  Please place a Pulmonary Consult and Pulmonary will place order for azithromycin if appropriate. PLEASE SELECT BELOW:,,,
ABX AZITHROMYCIN PULMONARY LONGTERM,Pulmonary staff ordering azithromycinNon-pulmonary staff NOT authorized toorder,,,
ABX AZITHROMYCIN PULMONARY RADIO BUTTONS,I am Pulmonary STAFF authorized to order.,,,
ABX BAM+ETE FACT SHEET FOR PROVIDERS,Fact Sheet for Health Care Providers EUA (Bam+Ete),https://www.fda.gov/media/145802/download,,
ABX BAM+ETE PATIENT FACT SHEET,Fact Sheet for Patients/Caregivers EUA (Bam+Ete),https://www.fda.gov/media/145803/download,,
ABX BAM+ETE PROVIDER EUA LINK,PROVIDER EUA Link to Complete Prior to Order/Administering,https://dvagov.sharepoint.com/sites/VHAPBM/VA_MedSAFE/App/EUA/Lists/EUA_Orders/Item/newifs.aspx,,
ABX BAMLANIVIMAB EUA,Bamlanivimab EUA Fact Sheet for Providers,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Bamlanivimab_EUA.pdf?csf=1&web=1&e=mGb6rN,,
ABX BAMLANIVIMAB_PATIENT_EUA,Bamlanivimab EUA Fact Sheet for Patient,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Bamlanivimab_Patient_EUA.pdf?csf=1&web=1&e=GxTLcP,,
ABX BARICITINIB PATIENTS,Baricitinib Fact Sheet Patient/Caregiver,https://www.fda.gov/media/143824/download,,
ABX BARICITINIB PROVIDERS,Baricitinib Fact Sheet Healthcare Providers,https://www.fda.gov/media/143823/download?utm_medium=email&utm_source=govdelivery&utm_source=Sanford+Guide+ID+Update&utm_campaign=2d15084093-EMAIL_CAMPAIGN_2021_08_12&utm_medium=email&utm_term=0_1f5dc66828-2d15084093-29522301&mc_cid=2d15084,,
ABX BEBTELOVIMAB EUA HCP FACT SHEET,Bebtelovimab EUA Fact Sheet HCP,https://www.fda.gov/media/156152/download,,
ABX BEBTELOVIMAB FACT SHEET PATIENTS,Bebtelovimab (EUA) Patient Fact Sheet,https://www.fda.gov/media/156153/download,,
ABX BENZATHINE PENICILLIN IM SANFORD,Benzathine Penicillin IM,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/penicillin-g,,
ABX BETA-LACTAM ALLERGIES PDF,Beta-lactam Reaction Assessment PDF,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Beta-lactam%20Allergies%20CDSS.pdf?csf=1&web=1&e=gsFtjT,,
ABX BLD CX CLICK LINK BELOW,CLICK the link below for the blood culture recommendation...,,,
ABX BLOOD CULTURE RECOMM,,file://vhaminfpc1/vamc/MICROBIOL INFO FOR CLINICIANS/zBlood culture rec & info.doc,,
ABX BRONCHITIS DIAGNOSIS UPTODATE,Clinical Diagnosis: Bronchitis <Link to UP-TO-DATE>,https://www.uptodate.com/contents/acute-bronchitis-in-adults?source=search_result&search=bronchitis&selectedTitle=1~150#H1966994717,,
ABX C DIFF 2 STEP LAB TEST,"The patient has not been on laxatives for 48 hours, AND has >/= 3 diarrheal stools per day, AND there is not another cause for diarrhea.",,,
ABX C DIFF 2-STEP INFO,"C. difficile testing should be performed on patients with high suspicion of CDI, WITHOUT other causes of diarrhea (e.g., laxatives, tube feedings, other medications).Repeat testing within 7 days is strongly discouraged, unless there is a significant change in stool pattern/disease activity.Formed stool will not be tested.*** I attest that the patient meets all of the following criteria for testing (must check to proceed):",,,
ABX C DIFF ID CONSULT,Questions: Consult ID through the Consult Menu (Inpt or Outpt),,,
ABX C DIFF SYMPTOMS,"The patient has not been on laxatives for 48 hours, AND has >/= 3 diarrheal stools per day, AND there is not another cause for diarrhea.",,,
ABX C DIFF URL DOCUMENT,C difficile 2-step lab test document link,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/CDI.testing.handout_05052023.pdf?csf=1&web=1&e=QCD36q,,
ABX CALL 3D,Patient or ordering provider: call 3D clinic (31-4988) to schedule vaccine administration,,,
ABX CAP CALCULATOR,CAP Pneumonia Severity Index (PSI) Calculator,https://reference.medscape.com/calculator/pneumonia-severity-index-psi,,
ABX CARDIOVASCULAR HEADING,CARDIOVASCULAR INDICATION:,,,
ABX CAS+IMD FACT SHEET PATIENTS,Fact Sheet Patient/Caregiver,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/EUA%20Patient%20Fact%20Sheet%20Cas+Imd.pdf?csf=1&web=1&e=ac2Mot,,
ABX CAS+IMD FACT SHEET PROVIDERS EUA,Fact Sheet for Providers EUA,https://www.regeneron.com/downloads/treatment-covid19-eua-fact-sheet-for-hcp.pdf,,
ABX CBOC INFO MN,Minnesota CBOC information,https://vaww.va.gov/directory/guide/state.asp?STATE=MN&dnum=ALL,,
ABX CBOC INFO WI,Wisconsin CBOC information,https://vaww.va.gov/directory/guide/state.asp?STATE=WI&dnum=ALL,,
ABX CDC ADULT IMMMUNIZATION SCHEDULE LIST,Use link below to navigate to CDC Recommended Adult Immunization Schedule PDF:,,,
ABX CDC ANTIBIOTICS AREN'T ALWAYS THE ANSWER,CDC-Antibiotics aren't always the answer,https://www.cdc.gov/antibiotic-use/pdfs/AntibioticsArentAlwaystheAnswer-H.pdf,,
ABX CDC RABIES RECOMMENDATIONS,CDC rabies prevention recommedations [Click Here],\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Human_Rabies_Prevention_-_United_States_2008_Recom.pdf,,
ABX CDC SYMPTOMATIC RX ACUTE RESPIRATORY INFECTIONS,CDC Symptomatic RX Acute Respiratory Infections,https://www.cdc.gov/antibiotic-use/community/pdfs/aaw/CDC-AU_RCx_Relief_for_Viral_Illness_lg_v8-508.pdf,,
